Timestamp,Datetime,Channel,Min,Max,Amplitude
6831.24,2013-01-25 23:53:51.240000,bcg,4.3,4.25,807.723730636
6835.44,2013-01-25 23:53:55.440000,bcg,4.2,4.4,891.121696064
6839.74,2013-01-25 23:53:59.740000,bcg,4.3,4.0,828.883568308
6843.84,2013-01-25 23:54:03.840000,bcg,4.1,4.2,852.930067466
6848.19,2013-01-25 23:54:08.190000,bcg,4.35,4.85,959.329942215
6852.94,2013-01-25 23:54:12.940000,bcg,4.75,4.5,950.724697724
6857.24,2013-01-25 23:54:17.240000,bcg,4.3,3.9,841.687129065
6861.14,2013-01-25 23:54:21.140000,bcg,3.9,3.95,803.489871177
6865.19,2013-01-25 23:54:25.190000,bcg,4.05,3.9,680.47954124
6868.94,2013-01-25 23:54:28.940000,bcg,3.75,3.75,695.154633524
6872.74,2013-01-25 23:54:32.740000,bcg,3.8,4.0,826.48126072
6876.69,2013-01-25 23:54:36.690000,bcg,3.95,3.75,710.983923289
6880.34,2013-01-25 23:54:40.340000,bcg,3.65,3.55,587.358623515
6884.14,2013-01-25 23:54:44.140000,bcg,3.8,4.25,773.982672683
6888.44,2013-01-25 23:54:48.440000,bcg,4.3,4.2,861.435603264
6892.34,2013-01-25 23:54:52.340000,bcg,3.9,3.55,730.774600263
6895.89,2013-01-25 23:54:55.890000,bcg,3.55,3.65,864.704026817
6899.79,2013-01-25 23:54:59.790000,bcg,3.9,3.85,859.738213539
6903.44,2013-01-25 23:55:03.440000,bcg,3.65,3.8,955.717973705
6907.04,2013-01-25 23:55:07.040000,bcg,3.85,3.65,1045.14249561
6910.79,2013-01-25 23:55:10.790000,bcg,3.75,3.5,726.63525352
6914.19,2013-01-25 23:55:14.190000,bcg,3.4,3.55,941.914710683
6917.59,2013-01-25 23:55:17.590000,bcg,3.4,4.15,979.927267028
6921.84,2013-01-25 23:55:21.840000,bcg,4.25,4.0,834.139296085
6926.29,2013-01-25 23:55:26.290000,bcg,4.1,4.75,829.747761355
6930.89,2013-01-25 23:55:30.890000,bcg,4.6,4.05,927.183299862
6935.09,2013-01-25 23:55:35.090000,bcg,4.2,4.75,939.66067686
6939.64,2013-01-25 23:55:39.640000,bcg,4.55,3.9,936.318852864
6943.54,2013-01-25 23:55:43.540000,bcg,3.9,4.0,797.609397395
6947.64,2013-01-25 23:55:47.640000,bcg,4.1,4.15,725.428257899
6951.94,2013-01-25 23:55:51.940000,bcg,4.3,4.6,820.513488496
6956.29,2013-01-25 23:55:56.290000,bcg,4.35,3.6,511.057536123
6959.29,2013-01-25 23:55:59.290000,bcg,3.0,3.05,653.960766623
6962.74,2013-01-25 23:56:02.740000,bcg,5.55,4.7,247.033686775
6966.74,2013-01-25 23:56:06.740000,bcg,3.85,3.75,912.987251204
6970.19,2013-01-25 23:56:10.190000,bcg,3.65,3.9,766.867892942
6974.29,2013-01-25 23:56:14.290000,bcg,4.1,4.0,1040.11103742
